plant_id,plant_name,technology,plant_municipality,plant_ort,commissioning_date,grid_connection_level,capacity_mw,capacity_factor,energy_mwh_annual,substation_id,substation_name,distance_m
SEE958066455756,WS2 Wittstock/Dosse 2,Wind,Heiligengrabe,Wittstock,12/9/2005,Hochspannung,1.5,0.3,3942.0,1872,,2051.800754597796
SEE912486948496,"229463; V-117; WEA 12; 3,45 MW",Wind,Gumtow,Gumtow,8/22/2019,Hochspannung,3.45,0.3,9066.6,2145,,1624.3669337061956
SEE970161922414,Wil01,Wind,Uckerland,Uckerland,10/20/1998,Hochspannung,1.0,0.3,2628.0,1467,Wilsickow,106.37056354187588
SEE904958568622,V37423,Wind,Neu Zauche,Neu Zauche,5/27/2010,Hochspannung,2.0,0.3,5256.0,3141,,2700.845690419682
SEE986949833766,WEB Briesensee - WEA 1,Wind,Neu Zauche,Neu Zauche,12/27/2012,Hochspannung,2.0,0.3,5256.0,3141,,3147.0572263945132
SEE922662555431,V37424,Wind,Neu Zauche,Neu Zauche,6/1/2010,Hochspannung,2.0,0.3,5256.0,3141,,2533.3422901439258
SEE922136605105,WKA MÖ MM1,Wind,Uckerfelde,Uckerfelde,7/28/2021,Höchstspannung,4.2,0.3,11037.6,3033,,1196.6989700918052
SEE927415574127,V44010,Wind,Neu Zauche,Neu Zauche,12/7/2011,Hochspannung,2.0,0.3,5256.0,3141,,2281.3426229527126
SEE962798095753,WKA MM2,Wind,Uckerfelde,Uckerfelde,6/7/2021,Höchstspannung,4.2,0.3,11037.6,3033,,2044.4448688381299
SEE907504189463,WKA MM3,Wind,Uckerfelde,Uckerfelde,6/29/2021,Höchstspannung,4.2,0.3,11037.6,1389,Umspannwerk Bertikow,2215.867189252953
SEE945834955143,WKA MM4,Wind,Uckerfelde,Uckerfelde,6/28/2021,Höchstspannung,4.2,0.3,11037.6,1389,Umspannwerk Bertikow,1850.0695275107432
SEE956483273311,WEB Briesensee - WEA 2,Wind,Neu Zauche,Neu Zauche,12/21/2012,Hochspannung,2.0,0.3,5256.0,3141,,2932.818724532043
SEE962553230337,WEB Briesensee - WEA 3,Wind,Neu Zauche,Neu Zauche,12/21/2012,Hochspannung,2.0,0.3,5256.0,3141,,3390.407735605433
SEE941114094380,V20218,Wind,Altlandsberg,Altlandsberg,12/1/2004,Hochspannung,2.0,0.3,5256.0,1944,Wegendorf TS WKA,1336.092335456513
SEE995617882227,V20219,Wind,Altlandsberg,Altlandsberg,12/1/2004,Hochspannung,2.0,0.3,5256.0,1944,Wegendorf TS WKA,2065.409470947221
SEE938751134852,V20220,Wind,Altlandsberg,Altlandsberg,12/1/2004,Hochspannung,2.0,0.3,5256.0,1944,Wegendorf TS WKA,1677.9841620736806
SEE928564423663,V20221,Wind,Altlandsberg,Altlandsberg,12/1/2004,Hochspannung,2.0,0.3,5256.0,1944,Wegendorf TS WKA,1999.4996092697709
SEE924636817033,V20222,Wind,Altlandsberg,Altlandsberg,12/1/2004,Hochspannung,2.0,0.3,5256.0,1944,Wegendorf TS WKA,1781.775015871161
SEE988156518993,V20223,Wind,Altlandsberg,Altlandsberg,1/1/2005,Hochspannung,2.0,0.3,5256.0,1944,Wegendorf TS WKA,1296.602289626491
