substation_id,substation_name,n_plants,n_wind,n_solar,total_capacity_mw,total_energy_mwh_annual,avg_distance_m
391,,,,,,,
392,Groß Schönbeck: Station Schorfheide,,,,,,
393,,,,,,,
394,,,,,,,
395,Jühnsdorf KÜST BHKW Trebbiner Damm,,,,,,
396,,6.0,6.0,0.0,25.9,68065.2,5333.693096755414
397,,,,,,,
398,TST SW Wachow,,,,,,
399,TrSt Rosenow Dorf,,,,,,
400,Priesterweg,,,,,,
401,,,,,,,
402,,,,,,,
403,,,,,,,
404,,,,,,,
405,,,,,,,
406,,,,,,,
407,,,,,,,
408,,,,,,,
409,,,,,,,
410,,2.0,0.0,2.0,20.46,21507.552000000003,1415.830580932266
411,,,,,,,
412,,,,,,,
413,,,,,,,
414,,,,,,,
415,,,,,,,
416,,,,,,,
417,,,,,,,
418,,,,,,,
419,Trafostation Zehdenick Triftweg,,,,,,
420,Schillerallee,,,,,,
421,Marwitzer Straße,,,,,,
422,,,,,,,
423,,,,,,,
424,,,,,,,
425,,,,,,,
426,,,,,,,
427,,,,,,,
428,Trafohäuschen mit Blumen,,,,,,
429,,,,,,,
430,,,,,,,
431,,,,,,,
432,,,,,,,
433,,,,,,,
434,,,,,,,
435,,,,,,,
436,,,,,,,
437,,,,,,,
438,,,,,,,
439,,,,,,,
440,,,,,,,
441,,,,,,,
442,,,,,,,
443,,,,,,,
444,,,,,,,
445,,,,,,,
446,,,,,,,
447,,,,,,,
448,,,,,,,
449,,,,,,,
450,Trafohäuschen mit Getreidefeld,4.0,4.0,0.0,16.8,44150.4,1266.9514636967006
451,Gräbendorfer Weg,,,,,,
452,,,,,,,
453,TST Golfplatz Semlin,,,,,,
454,Weinberg,,,,,,
455,Semlin Ausbau,,,,,,
456,,,,,,,
457,,,,,,,
458,,,,,,,
459,,,,,,,
460,,,,,,,
461,,,,,,,
462,,,,,,,
463,,,,,,,
464,,,,,,,
465,Trafohäuschen mit Goetheporträt,,,,,,
466,,,,,,,
467,,,,,,,
468,,,,,,,
469,,,,,,,
470,Trafohäuschen mit Wasservogel,,,,,,
471,,,,,,,
472,Trafostation Poseidonstr.,,,,,,
473,,,,,,,
474,,,,,,,
475,,,,,,,
476,,,,,,,
477,,,,,,,
478,,,,,,,
479,,,,,,,
480,,,,,,,
481,TrSt Waldstr.,,,,,,
482,,,,,,,
483,Rathenow Semliner Straße,,,,,,
484,Curlandstraße 2,,,,,,
485,,,,,,,
486,,,,,,,
487,,,,,,,
488,,1.0,1.0,0.0,3.3,8672.4,1982.1768848634679
489,,,,,,,
490,,,,,,,
491,,,,,,,
492,,,,,,,
493,,,,,,,
494,,,,,,,
495,,,,,,,
496,,,,,,,
497,,,,,,,
498,,,,,,,
499,,,,,,,
500,,,,,,,
501,,,,,,,
502,,,,,,,
503,,,,,,,
504,,,,,,,
505,,1.0,1.0,0.0,1.5,3942.0,12.44154509937359
506,,1.0,1.0,0.0,1.5,3942.0,12.033978874788891
507,,1.0,1.0,0.0,1.5,3942.0,10.006606597703955
508,,1.0,1.0,0.0,1.5,3942.0,12.783378839840543
509,,1.0,1.0,0.0,1.5,3942.0,9.734550970613318
510,,1.0,1.0,0.0,1.5,3942.0,7.229769897594546
511,,1.0,1.0,0.0,1.5,3942.0,19.924106987020963
512,,1.0,1.0,0.0,1.5,3942.0,46.47666043554648
513,,1.0,1.0,0.0,1.5,3942.0,13.258505166453363
514,,,,,,,
515,,1.0,1.0,0.0,1.5,3942.0,13.786288805005537
516,,2.0,2.0,0.0,3.0,7884.0,224.90435931109144
517,,3.0,3.0,0.0,5.5,14454.0,331.1293933781471
518,,2.0,2.0,0.0,3.0,7884.0,12.49074669404412
519,,2.0,2.0,0.0,3.5,9198.0,209.54168818952547
520,,,,,,,
521,,,,,,,
522,,,,,,,
523,,,,,,,
524,,,,,,,
525,,,,,,,
526,,,,,,,
527,,,,,,,
528,Transformatorenturmstation Seehaus - Seeschloß,,,,,,
529,,,,,,,
530,Perleberger Str.,,,,,,
531,,,,,,,
532,Rath. Fehrbelliner Str. 1,,,,,,
533,,,,,,,
534,,,,,,,
535,,,,,,,
536,Rehweg,,,,,,
537,Rathenow Heinrich-von-Rosenberg-Straße,,,,,,
538,Rath. H.-Heine-Str.,,,,,,
539,Rhinow Mittelstr.,,,,,,
540,Rath. Pfarrer-Fröhlich-Str,,,,,,
541,Rath. H.-Löns-Str.,,,,,,
542,Rathenow Stadthafen,,,,,,
543,,,,,,,
544,Rathenow ZBO,,,,,,
545,,,,,,,
546,,,,,,,
547,Rathenow Rhinower Landstraße,,,,,,
548,Rathenow Falkenweg,,,,,,
549,,,,,,,
550,,,,,,,
551,Rathenow Milower Straße,,,,,,
552,Rhinow Schule,,,,,,
553,Rathenow Hauptschleuse,,,,,,
554,Rathenow Inselweg,,,,,,
555,,,,,,,
556,,,,,,,
557,,,,,,,
558,,,,,,,
559,Schwenk,,,,,,
560,TrSt. W-Pieck-Str.,,,,,,
561,TrSt. Ruhemannweg,,,,,,
562,Gustav-Freytag-Straße,,,,,,
563,,,,,,,
564,,,,,,,
565,Hasenwinkel,,,,,,
566,,,,,,,
567,,,,,,,
568,,,,,,,
569,,,,,,,
570,Rathenow PW,,,,,,
571,Rathenow Jahnstr.,,,,,,
572,,,,,,,
573,,,,,,,
574,,,,,,,
575,,,,,,,
576,,,,,,,
577,,,,,,,
578,,,,,,,
