substation_id,substation_name,total_capacity_mw,total_energy_mwh,n_plants,avg_distance_m
2151,,5.4,14191.2,4,4663.599125626752
2152,,45.9,120625.2,28,2892.6004038029273
2157,,16.099999999999998,42310.799999999996,7,1055.1233655633644
2158,Umspannwerk Feldheim,135.2,355305.6,55,1532.6084418649066
2160,,2.0,5256.0,1,6631.544522236808
2162,,3.45,9066.6,1,1246.2572377372255
2171,,82.8,118260.0,11,5305.269262632882
2172,,16.0,42048.0,5,1731.1088071707502
2177,,4.5,11826.0,3,1293.775583368941
2179,,18.0,47304.0,12,1634.561908214944
221,Wahlsdorf 3,26.41,69405.48,9,2186.6960699939527
2226,,96.5212,196622.96544,30,3420.450351408888
2236,,24.0,63072.0,12,1212.8574285615712
2237,,14.600000000000001,15347.519999999999,2,2001.0180359215117
2238,,9.0,23652.0,6,2051.4401069051974
2242,Umspannwerk Wittstock Solar,9.0,23652.0,15,4855.0999709660155
2243,,47.0,123516.0,31,2909.239306717062
2256,,8.0,21024.0,4,3149.3418488704056
2281,Umspannwerk Gransee,2.0,5256.0,1,1205.6645493455317
2285,,23.725,62349.299999999996,12,3640.4443177936096
2288,Wind-UW Schlalach,29.9,78577.2,13,1254.81707878914
2291,,4.0,10512.0,2,4651.683998625899
2303,,37.29,39199.24799999999,1,5629.466335306074
2308,,72.912,76645.09440000002,1,5102.196212569291
2310,Uckley,46.5,122202.0,13,1455.9395660522366
2319,,74.7,80889.84,4,7230.3534256573175
2327,UW Cremzow,13.8,36266.4,4,3722.1617800194776
2331,Elisenau,20.6,54136.8,6,598.9160109085013
2339,Schaltpunkt Rietz,39.73,104410.44,12,1799.363960361081
2340,Treuenbrietzen Nord,12.600000000000001,33112.8,3,2084.0544830020403
2346,Jacobsdorf,55.75,146511.0,17,1531.620447291248
2347,Kerkow,24.55,64517.399999999994,6,845.9001376072578
2349,Sadenbeck,24.3,63860.399999999994,15,3585.9981712944837
2350,Falkenhagen Nord,350.6368,575465.56416,57,7364.262454985197
2351,Falkenhagen Süd,6.0,15768.0,4,3043.1998976238197
2354,,2.4,6307.2,1,1209.087644121027
236,Trafostation,10.0,26280.0,5,5751.328833713648
237,,0.135891,142.8486192,3,1465.3565800872914
2370,,52.8,138758.4,21,2398.0471590427455
2372,,61.3,161096.4,29,1159.9163345076404
2377,Umspannwerk Klettwitz,48.956,72276.3072,6,2439.925067731543
2392,,8.4,22075.2,3,1356.4817828463545
2394,,6.3,6622.5599999999995,1,102.6244622744751
2395,,13.45,35346.6,6,5936.155078628627
2398,Umspannwerk Schipkau,6.6,17344.8,2,2522.073141887959
2421,TS Windkraftanlage Weesow,50.302,52877.4624,1,1214.561017346017
2432,,2.7738,2915.81856,1,1925.0767820796568
2433,,7.2,18921.6,2,655.9021146257096
2434,,41.400000000000006,108799.20000000001,12,1461.5938109812166
2440,Transformatorenstation Uhlenhof,12.3,32324.4,5,1374.366956713249
2442,,68.775,180740.69999999998,22,1643.436925385491
2444,,4.0,10512.0,2,458.7419476473763
2448,,22.9,60181.2,10,1428.6706240849064
2457,Netzstation Hörlitz,6.0,15768.0,3,1304.7673688343114
2460,,18.0,47304.0,9,1190.1782379611045
2475,Werneuchen TrSt ZBE,17.599,18500.0688,4,1515.8292753732073
2493,Gottesgabe Wriezen,3.9195,4120.1784,2,540.1241708118134
2495,,15.3,40208.4,5,3099.9116633450067
2496,,9.5,24966.0,5,849.328895057889
2497,,28.9,75949.2,11,1096.9499403242883
2513,,24.0,63072.0,12,1561.955276968187
2515,Trafostation Zichtow Dorf MS-Raum/NS-Raum,26.9,70693.2,13,1799.7236525939286
2516,,4.0,10512.0,2,1957.866255555529
252,,22.0,23126.399999999998,1,997.6349638632194
2520,Umspannwerk Ihlow,72.138255,157194.613656,24,6699.798623217374
2522,,9.95,26148.6,12,3213.424673171505
2536,,41.599999999999994,109324.79999999999,13,2125.2823786027575
2540,UW Randowhöhe,59.6,156628.8,26,1582.2983506014752
2552,,3.026,3180.9311999999995,1,4649.35808945351
2556,,26.22,27562.464,6,1004.2995891779155
2558,,2.0,5256.0,1,1152.2712090937252
2560,,10.7,28119.6,5,2133.686608295647
2572,,12.0,31536.0,2,2260.8626143082647
2581,Umspannanlage 110kV - Tesla GF4,10.645,11190.024000000001,8,380.92849849798904
2586,Umspannwerk Albertshof,27.025000000000002,71021.7,9,1024.7207865397434
2663,Uckerthal,61.515,161661.41999999998,24,1735.7833461378214
2664,Karlshof,26.995,70942.86,10,754.5842226323447
267,,14.0,36792.0,7,895.5652494368609
2670,Umspannwerk Wustermark,27.799999999999997,73058.4,13,1180.323506487755
2673,UW Schönewalde (Energiequelle),13.0,34164.0,6,3262.1678388842215
268,,8.0,21024.0,4,1055.202031821884
2683,Umspannwerk Tantow,49.3,129560.4,20,5269.050385122221
269,TrSt Kirche,9.05,23783.4,4,1453.2523738488248
2690,UW Gollmitz,65.85,173053.8,18,1272.5628690056617
2719,UW Terpe,18.81,19773.071999999996,1,1017.0289681828044
2769,Wind-UW Sputendorf,21.3,55976.399999999994,4,547.0481200567882
2770,Werneuchen,12.0,31536.0,2,240.8379324586693
2772,UW Semlin,18.65,49012.2,5,870.8298126716833
2781,Petersdorf,67.55,177521.4,14,1425.6783548523713
2810,UW Alttrebbin,146.0,156628.8,2,1310.9633720111965
2811,UW Gottesgabe Ost,144.0,151372.8,1,1243.8009202086375
2812,,69.1,181594.8,42,2745.0619581516794
2819,,7.5,19710.0,1,793.3457528463366
2829,,35.465,77268.456,9,5315.281195370918
2834,Umspannwerk Altdöbern,36.0,94608.0,15,2122.1504406257764
2846,Baumgarten Süd,9.45,24834.6,2,2189.573304610606
2847,Trafostation Papenburg Raststätte,11.4,29959.199999999997,2,3443.6445782281667
285,,36.45,95790.59999999999,13,1893.1891946949067
2855,Umspannwerk Ragow,0.075,78.84,1,138.96547038328475
2858,,102.6,107853.12,8,629.3904918640046
2859,,42.269999999999996,111085.56,22,1509.1994349520091
286,,30.3,79628.4,12,1052.3812702222856
2860,,3.0,7884.0,2,373.7409477266772
2861,Umspannwerk Woltersdorf,40.0,105120.0,21,1019.8662014634928
2870,,25.2,26490.239999999998,1,1070.6097225813396
288,,18.799999999999997,49406.399999999994,8,2410.459358272392
289,,14.399999999999999,37843.2,6,2470.4351838400166
2912,Umspannwerk Walsleben,7.5,19710.0,5,1445.4779219024529
2913,,39.0,102491.99999999999,7,2098.29168962639
292,,86.488,178586.26559999998,26,1923.1867443590522
293,,23.6,62020.799999999996,14,1738.4225778796156
2930,TS Görlsdorf WW,4.2,11037.6,1,2123.8832418795764
2953,,2.1486,2258.60832,4,186.1496625691974
2957,Sieversdorf,4.0,10512.0,2,2369.3199485573377
2961,,20.85,54793.8,8,4006.6889898410336
2972,,0.136,142.9632,2,401.75402471662846
3012,,6.8,17870.399999999998,1,3135.7437356437163
3014,Klosterdorf,49.8,52349.759999999995,2,706.9398244905387
3026,,3.3,8672.4,1,3489.679321693798
3027,,2.0,5256.0,2,141.2495575589911
3028,,17.1,44938.8,4,1506.3808761380697
3031,,6.45,6780.24,1,1384.3712276529263
3033,,63.915,139830.624,13,2068.5090695894437
3041,HS-Kabel-Schaltpunkt Trebnitz,77.104,81051.7248,2,4438.637491615612
3043,Wilhelmshof,48.8,128246.4,11,971.5376369473972
3055,,17.25,45333.0,5,1784.0800685389866
3061,Jahnkeshof,36.5,95922.0,21,2511.760086954669
3065,,61.9084,65078.11008,6,1251.6654867580712
3077,Baumgarten West,15.875,41719.5,6,1857.213466625818
313,,44.3,116420.4,22,4237.069612376964
3141,,48.4,127195.2,22,2231.45518465034
3149,Mürow Oberdorf 2,2.1,5518.8,2,1544.293123033639
3162,,51.943,54602.4816,8,1254.9387279762213
3170,,7.25,7621.2,1,1341.4283252684065
3173,,2.8,2943.3599999999997,1,1046.4574476232203
3184,,13.035,13702.392,1,1473.9424540776768
3186,PVA Am UW Nauen,18.0,47304.0,9,3447.8679305223523
3207,,12.0,31536.0,8,2161.129665321014
3208,,15.0,39420.0,10,2381.827426361035
3213,Schiebsdorf,1.5,3942.0,1,6009.985575668522
3215,,9.0,23652.0,6,1437.1826049773808
3219,,122.92,173363.90399999998,21,4541.413084108456
3220,,26.0,68328.0,13,1573.747158857288
3224,Hellberge,33.8,88826.4,17,1021.6072634732399
3232,UW Seelow Loose,46.2,48565.439999999995,1,1045.9136060615342
