substation_id,substation_name,substation_operator,substation_voltage,substation_type,total_capacity_mw,total_energy_mwh,n_plants,n_wind,n_solar,avg_distance_to_substation_m,max_distance_to_substation_m
1725,,,,distribution,36.3,101756.15999999999,11,11,0,2392.3691102333173,2845.0840182749125
1731,,,110000,generation,69.6724,73239.62688,9,0,9,4993.862472353596,7940.270593784035
1745,Eberswalde 1,E.DIS Netz,110000,generation,80.8819,85023.05328,11,0,11,2650.9412629696267,3493.8259819222776
1746,Neu Rietz,,110000,generation,53.97,151288.704,22,22,0,2471.799455003041,3783.8825603928276
1749,,envia,,distribution,137.17000000000002,182737.104,15,11,4,3646.237989583866,6548.062168812067
1754,,,,,60.0,63072.0,4,0,4,2377.7893043273307,2395.749616356663
1764,Reckahn,,110000,generation,35.765,42852.168000000005,6,2,4,807.897917924634,1250.1426363080407
178,,,,,4.0,11212.800000000001,2,2,0,1868.0182180632528,2052.121196171978
179,,,,,23.619999999999997,66211.584,13,13,0,2077.9372222158686,2627.1458029146097
1794,Pillgram,E.ON edis AG,110000,generation,66.95,187674.24000000002,18,18,0,3437.7795171858975,4529.373478831545
1801,Umspannwerk Kemnitz,,110000,,18.0,50457.600000000006,10,10,0,791.816395224087,1296.1631543317426
1802,Vehlin,E.DIS Netz GmbH,110000,generation,171.775,246970.68,34,21,13,2814.8026262002713,4862.318623978108
1807,Umspannwerk Großräschen,Mitnetz Strom,110000,transmission,4.8,13455.36,2,2,0,1967.6851040040706,2208.658963330861
1809,Schrepkow,E.DIS Netz GmbH,110000,generation,11.0,30835.2,2,2,0,1743.6267499442565,1857.2379548322406
1816,Kantow Nord,E.DIS Netz GmbH,110000,generation,25.0,70080.0,8,8,0,905.8774247574746,1609.7249845228782
1817,Kantow,E.DIS Netz GmbH,110000,generation,30.5,85497.6,13,13,0,1887.338292370188,6180.349980277731
1818,Kränzlin,E.DIS Netz GmbH,110000,generation,34.0,95308.8,18,18,0,1559.905972127947,3125.0677390170486
1839,Beiersdorf,NOTUS,110000,generation,70.9,198746.88,29,29,0,4946.318622864638,7207.360067370792
1854,Trst Am Bahnhof,E.ON,,,20.1,56344.32000000001,9,9,0,1396.6493905008767,1842.228734826578
1868,Möthlitz,,110000,generation,10.0,28032.000000000004,5,5,0,806.2953879385282,1197.1283096473867
1869,Seefeld,E.DIS Netz,110000,generation,4.2,11773.44,1,1,0,2794.8971454308557,2794.8971454308557
1870,Sydower Fließ West,TEWI GmbH & Co. KG,110000,generation,33.5,93907.20000000001,11,11,0,1010.3031020836078,1660.216542694516
1872,,,,,4.5,12614.400000000001,3,3,0,2158.534513676525,2254.3090831277236
1880,,,110000,transition,51.279999999999994,143748.096,9,9,0,3085.020996229453,5640.128694752656
1882,,,,,63.775,178774.08,21,21,0,5877.401089555652,7549.600438288323
1883,,,1000,,7.5,21024.0,5,5,0,1842.756432601595,2026.191645044133
1896,,,,,10.0,28032.000000000004,5,5,0,2659.6092444687056,3131.5660826468043
1898,Umspannstation Proschim,UKA Netz GmbH,110000,distribution,11.225000000000001,31465.920000000002,4,4,0,475.22246650470254,734.1335269542146
1906,,,,,6.0,16819.2,3,3,0,3343.8178565986295,3396.0912232915307
1927,,envvia M,,minor_distribution,12.0,33638.4,4,4,0,1299.1629722549058,1910.0183714521052
193,TrSt WAZ,eon EDIS,,,9.6,26910.72,14,14,0,1741.3248390163997,2335.196578110051
1935,TST 1115,,,,19.0,53260.8,5,5,0,4203.016035378496,4562.22556884114
1944,Wegendorf TS WKA,,,,18.0,50457.600000000006,9,9,0,1760.4441523893954,2100.1148889658493
1947,Baumgarten,E.DIS Netz GmbH,110000,distribution,6.9,19342.08,2,2,0,1175.3592025692637,1263.323034102491
1950,,E.DIS Netz GmbH,15000,minor_distribution,13.5,37843.200000000004,9,9,0,2142.7511450392662,2774.906232942423
1951,,,,,16.5,46252.8,11,11,0,2272.101130058682,2982.732235185648
1965,,E.DIS Netz GmbH,,minor_distribution,126.4,354324.48000000004,38,38,0,3138.134273078733,4963.836418771524
1969,Eckmannsdorf,eon edis,,,22.0,61670.4,14,14,0,1680.0718610792076,2206.2390729912577
1995,Transformatorenturmstation Muehlberg a. d. Elbe,,,minor_distribution,14.350000000000001,15084.719999999998,11,0,11,6766.471257553272,6766.471257553271
1996,,,,minor_distribution,26.475,74214.72,12,12,0,4561.635044431868,5758.623321793324
1997,,,,,9.9,27751.68,4,4,0,1868.6441899316499,2379.8990357583543
2008,,,110000,,1.5,4204.8,1,1,0,2697.076236478062,2697.076236478062
2016,,,,,48.68,122268.576,19,16,3,3294.1989594314487,5414.6352965636925
2017,,,,,102.67,287804.544,50,50,0,4284.487268511887,6166.9226272002925
2037,,,,minor_distribution,40.5,113529.6,10,10,0,1368.8486685246942,1803.0136413239372
2039,,,,minor_distribution,26.5,74284.8,9,9,0,4851.413555095791,5338.276106929202
2048,,,,,54.4,57185.28,11,0,11,3357.7393139679957,3357.7393139679957
205,,EON_edis,110000,,2.0,5606.400000000001,1,1,0,530.9475560047263,530.9475560047263
2070,Trafo,Envia,,,2.0,5606.400000000001,1,1,0,977.3024204637782,977.3024204637782
2075,Schrepkow Nord,E.DIS Netz GmbH,110000,generation,32.129,90064.0128,9,9,0,1818.2105899759747,2290.8727953744715
2076,Kränzlin Nord,E.DIS Netz GmbH,110000,generation,12.0,33638.4,8,8,0,781.0860170776369,1361.0878160234993
